player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,opta_index,total_points,now_cost,selected_by_percent
129,1605562,Martin,Tangen Vinjor,Vinjor,,6,306,KFUM Oslo,KFUM,3,MID,a,,1020,0,2,2,23,0,0,0,4,0,0,3,0.000000,32,55,0.3
130,3561250,Magnus,Kiperberg Mehl,Mehl,,6,306,KFUM Oslo,KFUM,2,DEF,u,På lån til Tromsdalen,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,40,0.0
131,2061274,Krzysztof,Bąkowski,Bąkowski,,6,306,KFUM Oslo,KFUM,1,GK,u,Lån avsluttet,180,0,0,1,3,0,0,0,0,0,6,0,0.000000,8,42,1.0
132,1442250,Magnus,Wolff Eikrem,Eikrem,,6,306,KFUM Oslo,KFUM,4,FWD,i,Smell - Ute på ubestemt tid,513,2,2,2,9,0,0,0,0,0,0,4,0.000000,34,67,4.2
133,1562899,Magnus,Grødem,Grødem,,6,306,KFUM Oslo,KFUM,4,FWD,d,Smell - 50 % sjanse for å spille,586,2,0,1,9,0,0,0,2,0,0,0,0.000000,22,58,0.7
134,1563720,Tore André,Hagbø Sørås,Sørås,,6,306,KFUM Oslo,KFUM,3,MID,d,Lår - 25 % sjanse for å spille,659,0,0,2,12,0,0,0,2,0,0,0,0.000000,16,43,1.2
135,1756937,Skeide,Syver,Skeide,,7,785,Kristiansund,KBK,3,MID,a,,577,0,1,1,14,0,0,0,2,0,0,3,0.000000,23,44,0.2
136,1742353,Niklas,Ødegård,Ødegård,,9,3,Molde,MOL,3,MID,a,,473,0,0,0,11,0,0,0,4,0,0,0,0.000000,11,50,0.1
137,1744364,Isak,Aalberg,Aalberg,,7,785,Kristiansund,KBK,2,DEF,i,Lyske - Ute på ubestemt tid,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,40,0.2
138,2028915,Frederik,Flex,Flex,,7,785,Kristiansund,KBK,2,DEF,a,,1007,0,0,1,21,0,0,0,3,0,0,0,0.000000,19,44,0.1
